img_name,text_descriptions
image_1.jpg,toy story meme - toy story meme toy story meme
image_10.png,a cartoon drawing of a group of people in front of a blackboard
image_100.jpg,yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo
image_1000.png,two men sitting at a table with the capt in front of them
image_1001.png,an image of a man in a police uniform
image_1002.png,an image of a man sitting on a couch
image_1003.png,an image of a man in a suit pointing his finger at the camera
image_1004.png,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed
image_1005.jpg,a man in a suit holding an award
image_1006.png,two people are laughing and one is holding a cigarette
image_1007.jpg,a man in a suit and tie with his hands out
image_1008.png,a black and white photo of a man in a suit
image_1009.png,an image of a man in a suit holding a trophy
image_101.jpg,a baby sitting on the ground
image_1010.png,a man in a suit and tie is looking at the camera
image_1011.png,a picture of a young man with blonde hair
image_1012.png,an image of a man in a trash can
image_1013.png,a man in a suit and tie is looking at the camera
image_1014.png,two boys holding bowling balls in their hands
image_1015.png,a picture of two men in suits talking to each other man
image_1016.jpg,two men in suits standing next to each other men
image_1017.png,"an image of a woman looking at the camera with text that reads, when you go double text and see"
image_1018.jpg,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
image_1019.jpg,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
image_102.jpg,a baby in a suit with a santa clause on it ' s chest
image_1020.png,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
image_1021.png,a crowd of people at a concert with the capt that reads what if the mes about leonard died in
image_1022.png,an image of a man in a suit and tie
image_1023.png,an image of a dog in the back of a bus
image_1024.png,a man with a beard and glasses next to a man with a beard
image_1025.jpg,a man in a white suit holding a microphone
image_1026.jpg,a man in a tuxed tuxed tuxed tuxed tuxed tuxed
image_1027.jpg,a man in a suit sitting on a couch
image_1028.jpeg,this meme is not dying
image_1029.jpg,the president and first lady are walking down the street
image_103.png,"a pink background with text that reads, i ' m ' m ' m ' m ' m ' m"
image_1030.jpg,a man and a woman walking down the street
image_1031.jpg,a woman yelling at a man in an office
image_1032.jpg,a man and woman looking at their cell phones
image_1033.jpg,"a man and woman sitting on a couch, one pointing at the other man"
image_1034.jpg,a man and woman standing next to each other people
image_1035.jpg,a neon sign that reads beard of the mommy of the possible
image_1036.jpg,a man and woman standing next to each other people
image_1037.png,a man and woman hugging in the street
image_1038.png,a man and woman walking down the street
image_1039.jpg,people of the future
image_104.png,i make you a cer you can ' t refuse
image_1040.png,a man and woman walking down a city street
image_1041.jpg,a couple standing next to each other people
image_1042.png,a man in a blue shirt and tie pointing at the camera
image_1043.jpg,her he ' s probably thinking about her him
image_1044.jpg,a man and woman holding a baby in their arms
image_1045.jpg,a man and woman standing next to each other people
image_1046.jpg,a group of young people walking down the street
image_1047.jpg,a woman in a spider suit is standing next to a spider
image_1048.jpg,"two women sitting at a table looking at a laptop with the capt that reads, and that ' s shocking"
image_1049.png,an image of two people walking down the street
image_105.png,a little boy in a suit and top hat holding a baseball bat
image_1050.png,a cartoon picture of a man in a suit and tie
image_1051.png,"an image of a man with a beard and a capt that reads, ' new boyfriend boyfriend boyfriend boyfriend girlfriend boyfriend boyfriend boyfriend boyfriend boyfriend boyfriend boyfriend"
image_1052.png,a man is standing in front of a building
image_1053.jpg,a man and woman walking down the street in the rain
image_1054.jpg,two pictures of people walking down the street
image_1055.jpg,a drawing of a man with a beard and a beard on his head
image_1056.jpg,a bald bald man pointing his finger at the camera
image_1057.jpg,a man in a suit is pointing at the camera
image_1058.jpg,an image of a man with a red and white flag on his face
image_1059.jpg,an image of a man in a suit hugging another man in a suit
image_106.jpg,a man in a tuxed tuxed tuxed tuxed
image_1060.jpg,a picture of a person holding a bottle
